extract_date,store_name,store_price_lv,store_type,dish_type,dish_name,dish_price
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,※注意事項,※購買任一主餐，即可加購升級【一份主餐限加購一次，超過主餐份數之加點套餐訂單，店家有權取消訂單】,0.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,歐姆蛋咖哩飯,歐姆蛋奶油綜合菇咖哩飯,200.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,歐姆蛋咖哩飯,歐姆蛋奶油雞肉咖哩飯,225.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,歐姆蛋咖哩飯,炸蝦歐姆蛋咖哩飯,285.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,歐姆蛋咖哩飯,炸豬排歐姆蛋咖哩飯,270.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,歐姆蛋咖哩飯,炸雞塊歐姆蛋咖哩飯,225.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,歐姆蛋咖哩飯,炸雞塊蕃茄蘆筍歐姆蛋咖哩飯,285.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,歐姆蛋咖哩飯,炸雞排歐姆蛋咖哩飯,225.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,歐姆蛋咖哩飯,牛肉歐姆咖哩飯,280.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,歐姆蛋咖哩飯,菠菜炸豬排歐姆蛋咖哩飯,310.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,歐姆蛋咖哩飯,蔬菜炸雞排歐姆蛋咖哩飯,295.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,歐姆蛋咖哩飯,蕃茄蘆筍歐姆蛋咖哩飯,210.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,歐姆蛋咖哩飯,麻婆歐姆蛋咖哩飯,230.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,肉類咖哩飯,德國香腸咖哩飯,190.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,肉類咖哩飯,涮牛肉咖哩飯,195.00
2019/09/07,CoCo壹番屋咖哩 (台北信義誠品店),$$$,日式料理/咖哩/肉類料理/飯類,肉類咖哩飯,涮豬肉咖哩飯,190.00
